ticket,marital_status,gender,dwelling,adults,children,education,income,occupation,CCAA,response
d2ea7f58-3fe1-4ff8-8692-9133a9ae2664_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo parcial,Cataluña,49
0552a05c-8ef7-44ae-b2d4-7dd3afebc8b2_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,1501€ - 2000€,Estudiante,Cataluña,20
3178b2f0-260a-4942-83bd-8061e09434a0_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,3001€ - 4000€,Trabajo a tiempo completo,Comunidad de Madrid,25
8c4232a5-dba9-4c33-b097-e849ac557195_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,5 o más personas,Ninguna,"Máster, licenciatura o superior",3001€ - 4000€,Estudiante,Cantabria,25
66816265-46b2-45e6-a984-a4df4cc289cd_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,4 personas,Ninguna,"Máster, licenciatura o superior",Más de 4000€,Trabajo a tiempo completo,Comunidad Valenciana,24
7f1f9ce0-e62c-4595-989e-685e97e0a01e_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Mujer,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Trabajo a tiempo completo,Cataluña,41
dec9fdda-5745-4f0b-a7cb-17289d2e9372_b981c2388d27d31f,Soltero/a,Hombre,Apartamento o piso,3 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Trabajo a tiempo completo,NA,48
8754828723483ab3_b981c2388d27d31f_4d6bfcf76822d91d_a7e5cd4daa120871c6616ff905de6e35,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,"Máster, licenciatura o superior",1501€ - 2000€,Trabajo a tiempo completo,Comunidad de Madrid,75
186935b7-8c21-44ad-8961-ac53b0b8111f_b981c2388d27d31f,Soltero/a,Mujer,Apartamento o piso,3 personas,2 niños/as,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Cataluña,25
3a79b3ce-0f5c-4319-ac3a-7339842e2f9b_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Castilla y León,13
ab8f7674-917c-43f2-a207-71be3f15daec_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Trabajo a tiempo completo,Comunidad Valenciana,50
7e5c4eea-6443-4a6a-abd7-cf8693085b9b_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,2 personas,1 niño/a,Educación secundaria,Más de 4000€,Trabajo a tiempo completo,Asturias,70
91c63dc0-8c37-4995-9ee9-182af2b949ac_b981c2388d27d31f,Soltero/a,Hombre,Casa unifamiliar adosada,4 personas,Ninguna,Formación profesional o técnica,1501€ - 2000€,Trabajo a tiempo completo,Cataluña,50
f837030b-dc09-4417-9f21-528006cd2585_b981c2388d27d31f,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Jubilado/a o pensionista,Cataluña,51
c7b3558e-19b7-48e4-9972-2148e5561bc5_b981c2388d27d31f,Casado/a,Hombre,Casa unifamiliar adosada,2 personas,Ninguna,Formación profesional o técnica,Más de 4000€,Jubilado/a o pensionista,Comunidad de Madrid,60
50b7134f-a87a-435d-93f5-849cfdb5bf1c_b981c2388d27d31f,Pareja de hecho o relación estable no matrimonial,Hombre,Apartamento o piso,2 personas,Ninguna,"Máster, licenciatura o superior",Prefiero no responder,Estudiante,Comunidad de Madrid,50
63f3d18fcb327c3f_b981c2388d27d31f_341cc43451886019_e6298f285be9e0efacb0065dc9347761,Soltero/a,Mujer,Apartamento o piso,Vivo solo/a,Ninguna,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Castilla y León,26
47348fb0-e94f-4afe-9230-c76ed65e3a1b_b981c2388d27d31f,Soltero/a,Mujer,Casa unifamiliar no adosada,Vivo solo/a,Ninguna,Grado o diplomatura,1001€ - 1500€,Trabajo a tiempo completo,Comunidad de Madrid,34
29c9b48b-9197-48bd-ae43-0c695b45a7f3_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,4 personas,Ninguna,Grado o diplomatura,Prefiero no responder,Jubilado/a o pensionista,Comunidad Valenciana,12
095647be-8080-4cf7-a66a-da27c764cd0f_b981c2388d27d31f,Prefiero no responder,Otro o prefiero no responder,Otro,4 personas,Ninguna,Formación profesional o técnica,Prefiero no responder,Desempleado/a,Galicia,50
5824426f-e93a-4998-98fb-bd09ac1ff318_b981c2388d27d31f,Casado/a,Mujer,Apartamento o piso,3 personas,Ninguna,Formación profesional o técnica,1001€ - 1500€,Trabajo a tiempo completo,Comunidad de Madrid,25
a0468314-d804-421b-b25a-1fab1a05f6f4_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Educación secundaria,3001€ - 4000€,Jubilado/a o pensionista,NA,49
4b0c756d-8a89-43e6-a83c-5501ecf37c47_b981c2388d27d31f,Casado/a,Hombre,Apartamento o piso,2 personas,Ninguna,Grado o diplomatura,2001€ - 2500€,Jubilado/a o pensionista,Comunidad de Madrid,50
78bab6fd6c990937_b981c2388d27d31f_a43369ac0692c629_56ba93325dcca793dc3c7ab19c2b10fa,Casado/a,Mujer,Casa unifamiliar no adosada,2 personas,Ninguna,Educación primaria,1501€ - 2000€,Jubilado/a o pensionista,Cantabria,31
